,icoPriceUsd,currentStage,goalUsd,total_supply,is_active,price,exchangeName,n_contracts,isbnb,tags_reduce,iseth,issol,ismatic,isada,isavax,lifeday,dayscreated
398,0.16,1,110000.0,30000000.0,0,0.017910066785790567,12,2.0,0,10,1,0,1,0,0,352,612
399,0.025,6,300000.0,500000000.0,1,0.0008637884939477773,10,2.0,1,10,0,0,0,1,0,641,641
400,0.01,1,95000.0,1500000000.0,0,0.00012675168563393608,6,1.0,0,6,0,1,0,0,0,513,541
401,0.2,1,100000.0,1e+17,0,0.0,10,1.0,0,10,0,0,0,0,0,624,624
402,0.002,1,500000.0,20000000000.0,1,2.9900365613650786e-05,10,1.0,0,9,0,1,0,0,0,664,664
403,0.04,1,100000.0,500000000.0,1,0.0012218712605544734,13,1.0,1,10,0,0,0,0,0,622,622
404,0.04,1,125000.0,500000000.0,1,0.0012218712605544734,12,1.0,1,10,0,0,0,0,0,622,622
405,9.0,1,93922.0,1e+17,0,6615.485706712777,10,1.0,1,10,0,0,0,0,0,6,642
406,0.0,1,300000000.0,1e+17,0,1.1036316466e-13,10,1.0,1,10,0,0,0,0,0,170,611
407,0.042,0,8000000.0,1000000000.0,0,0.0016576853395910299,10,1.0,0,10,0,0,0,1,0,596,649
408,0.0016,1,100000.0,1000000000.0,0,0.00010825032421078123,10,2.0,1,10,0,0,0,0,0,533,582
409,0.0016,1,200000.0,1000000000.0,0,0.00010825032421078123,10,2.0,1,10,0,0,0,0,0,533,582
410,0.002,1,70000.0,20000000000.0,1,2.9900365613650786e-05,10,1.0,0,9,0,1,0,0,0,664,664
411,2.0,6,300000000.0,10000000.0,1,2.1216993529471817,10,1.0,0,10,0,0,0,1,0,611,611
412,0.0,4,300000000.0,1000000000.0,1,0.00044999383258595665,10,1.0,0,10,1,0,0,0,0,619,619
413,1.0,1,1000000.0,100000000.0,1,0.04274043113186535,10,1.0,0,5,0,1,0,0,0,626,626
414,0.2,1,200000.0,1e+17,0,0.0,12,1.0,0,10,0,0,0,0,0,624,624
415,0.06,3,4000000.0,1000000000.0,1,0.0003674174896951577,10,1.0,1,10,0,0,0,0,0,606,606
416,0.0,2,300000000.0,1000000000.0,1,0.003785864891877104,10,1.0,0,10,0,1,0,0,0,619,619
417,1.0,1,300000000.0,100000000.0,1,0.04274043113186535,3,1.0,0,5,0,1,0,0,0,626,626
418,1.0,1,2000000.0,100000000.0,1,0.04274043113186535,10,1.0,0,5,0,1,0,0,0,626,626
419,0.02,1,200000.0,900000000.0,1,0.00024936716671363374,13,1.0,0,6,1,0,0,0,0,641,641
420,0.4,1,500000.0,25650000.0,1,0.00014543986637004274,10,1.0,0,10,0,0,0,0,1,612,612
421,0.54,1,200000.0,100000000.0,1,0.009956400077429999,10,1.0,1,6,0,0,0,0,0,635,635
422,0.0025,5,2500000.0,1e+17,0,0.0,10,1.0,1,10,0,0,0,0,0,273,273
423,0.025,1,100000.0,1e+17,1,0.0020684848772417608,13,1.0,0,6,0,0,0,0,0,622,622
424,0.16,1,160000.0,200000000.0,1,0.004521064055874628,13,1.0,1,6,0,0,0,0,0,622,622
425,0.045,1,100000.0,1000000000.0,1,0.001384325808258957,13,1.0,1,5,0,0,0,0,0,622,622
426,0.02,0,1000000.0,1e+17,0,0.0010160969438316675,10,1.0,1,10,0,0,0,0,0,353,613
427,0.006,1,150000.0,2400000000.0,0,0.00014388214996173657,10,1.0,1,10,0,0,0,0,0,636,642
